Date,Aluminium Price,Copper Price,BADI -2,MJP,USD Index,AL Prod (Global),AL Cons (Global),Aluminium stocks,Alumina Index,Oil Prices
2011-02-01,2515.26,9884.9,2030.9444444444443,112.5,77.7776,3416.918966,3210.0681146571465,12093.198160884176,392.4375,104.0
2011-03-01,2555.5,9503.358695652174,1401.8,113.0,76.28765217391306,3788.014108,3674.2978401862274,12206.914428697948,402.1475,115.0
2011-04-01,2667.4166666666665,9482.75,1181.1,114.0,74.68976190476191,3800.103276,3823.574120019583,12183.443584678364,410.37000000000006,123.0
2011-05-01,2587.2125,8931.675,1492.695652173913,114.0,74.94309090909093,3913.316603,4022.7650162178966,12073.99517146047,408.8975,115.0
2011-06-01,2557.7613636363635,9054.597727272729,1342.5555555555557,114.0,74.69463636363636,3788.402155,3898.3795564387424,11964.017770021728,392.225,114.0
2011-07-01,2525.428571428572,9641.280952380952,1352.4,120.5,74.73400000000002,3952.015892,3855.413522039182,12060.620139982546,379.514,117.0
2011-08-01,2380.975,8997.988636363636,1433.2272727272727,120.5,74.23856521739128,3965.636523,3835.316270255214,12190.94039272733,371.985,110.0
2011-09-01,2293.461363636364,8300.136363636364,1365.5238095238096,120.5,76.91545454545457,3848.906603,3781.259354182555,12258.587641544776,364.394,110.0
2011-10-01,2180.647619047619,7394.190476190476,1386.9545454545455,119.0,77.15590476190478,3985.084184,3755.743698568137,12487.928126976638,352.735,109.0
2011-11-01,2079.981818181818,7581.022727272727,1840.409090909091,119.0,77.9575,3852.460259,3634.494307358092,12705.894078618545,328.90500000000003,110.0
2011-12-01,2024.375,7558.875,2072.4761904761904,119.0,79.6295,3977.077611,3700.064157150675,12982.90753246787,310.41400000000004,108.0
2012-01-01,2151.333333333333,8061.916666666667,1835.3181818181813,112.0,80.33304545454544,4020.100146,3593.659636666592,13409.34804180128,310.9993333333333,111.0
2012-02-01,2207.9166666666665,8441.488095238095,1868.8235294117649,112.0,78.953,3770.523112,3505.523390871483,13674.347762929796,318.48016666666666,119.0
2012-03-01,2184.159090909091,8470.78409090909,1039.3809523809523,112.0,79.55890909090908,4027.095552,4008.3194013089096,13693.123913620886,318.11566666666664,125.0
2012-04-01,2048.5052631578947,8285.526315789473,702.6190476190476,121.0,79.42952380952381,3906.374555,4107.033552990395,13492.46491563049,317.5475,120.0
2012-05-01,2002.522727272728,7896.909090909091,858.9545454545455,121.0,80.98908695652175,4051.920451,4228.1914325475655,13316.193934082925,318.06583333333333,110.0
2012-06-01,1885.5131578947369,7428.289473684211,1020.5263157894736,121.0,82.24490476190478,3915.55722,4047.580779747248,13184.170374335674,313.518,96.0
2012-07-01,1876.25,7584.261363636364,1101.2727272727273,205.0,83.02277272727274,4045.812209,3972.711997487757,13257.270585847917,307.2228333333333,103.0
2012-08-01,1843.3272727272729,7510.431818181818,937.421052631579,205.0,82.15860869565218,4031.90948,3975.896689551623,13313.283376296293,315.3223333333333,113.0
2012-09-01,2064.12,8087.7425,1056.4545454545455,205.0,79.87464999999999,3927.269752,3945.241600438625,13295.311527857666,320.49426666666665,113.0
2012-10-01,1974.304347826087,8062.032608695652,760.8181818181819,254.0,79.73739130434782,4095.239567,4057.926453270848,13332.62464158682,323.80566666666664,112.0
2012-11-01,1948.8295454545453,7711.227272727273,707.05,254.0,80.69650000000003,4005.034181,3918.467291388449,13419.191531198368,324.8536666666667,110.0
2012-12-01,2086.7631578947367,7966.486842105263,952.4347826086956,254.0,79.74885714285716,4166.839692,4024.841408846804,13561.189814351566,330.68888888888887,109.0
2013-01-01,2037.6068181818184,8053.738636363636,1024.6363636363635,242.5,79.8711739130435,4249.806626,3948.9053299663888,13862.091110385178,334.6213333333333,112.0
2013-02-01,2053.5950000000003,8060.925,855.6875,242.5,80.6024,3867.536109,3677.327524075895,14052.29969530928,348.6701666666666,116.0
2013-03-01,1911.2825,7652.375,770.5909090909091,242.5,82.64119047619047,4271.601359,4097.323636282157,14226.577418027124,336.3958333333333,110.0
2013-04-01,1861.0238095238096,7221.161904761904,744.95,249.0,82.52345454545456,4145.984163,4310.725623981782,14061.83595704534,323.657,103.0
2013-05-01,1832.571428571429,7248.714285714285,876.1,249.0,83.2158260869565,4274.407288,4413.316541619909,13922.926703425434,325.04833333333335,103.0
2013-06-01,1814.5375,7000.2375,874.0,249.0,81.8737,4143.714551,4388.572385304007,13678.068869121427,320.89500000000004,103.0
2013-07-01,1769.608695652174,6906.641304347826,851.3809523809524,250.0,82.8161739130435,4264.665251,4355.4436541137575,13587.290466007673,315.7423333333333,107.0
2013-08-01,1816.235714285714,7186.25,940.5,250.0,81.48159090909091,4280.970181,4376.687248013839,13491.573398993833,317.83666666666664,110.0
2013-09-01,1762.2825,7162.4825,1123.1304347826087,250.0,81.20609523809524,4173.942909,4242.89811569024,13422.618192303593,322.8035,111.0
2013-10-01,1814.582608695652,7203.021739130435,1088.095238095238,246.0,79.87121739130436,4317.850399,4383.856276934584,13356.612314369006,318.8006666666667,109.0
2013-11-01,1747.9642857142858,7070.6547619047615,1680.5238095238096,246.0,80.84619047619046,4231.946238,4238.564506262771,13349.994046106236,323.5233333333333,108.0
2013-12-01,1739.81,7214.9,1883.1739130434785,246.0,80.3240909090909,4384.713576,4183.286773651978,13551.42084845426,326.2032222222222,111.0
2014-01-01,1727.4113636363638,7291.465909090909,1558.857142857143,225.0,80.79747826086955,4471.243125,4391.457740960598,13631.20623249366,334.683,107.0
2014-02-01,1695.1650000000002,7149.2125,2178.058823529412,225.0,80.43730000000002,4065.728649,3850.138085456844,13846.796796036817,329.31666666666666,109.0
